subset_size,scope,metric,reference_count,subset_count,reference_mean,subset_mean,mean_diff,abs_mean_diff,standardized_mean_diff,abs_standardized_mean_diff,reference_median,subset_median,median_diff,reference_p25,subset_p25,p25_diff,reference_p75,subset_p75,p75_diff
300,combined,annual_peak_unit_area_median,1903,300,0.3236336089601881,0.3011607070866295,-0.022472901873558604,0.022472901873558604,-0.04145752868908367,0.04145752868908367,0.15997130687349476,0.14873245223407744,-0.011238854639417317,0.04811652094857745,0.044876695047322834,-0.0032398259012546143,0.3621690278231493,0.35685535735592744,-0.005313670467221865
300,combined,annual_peak_years,1903,300,29.224908039936942,29.47,0.245091960063057,0.245091960063057,0.03781904533056396,0.03781904533056396,31.0,31.0,0.0,24.0,25.0,1.0,35.0,35.0,0.0
300,combined,event_count,1903,300,92.48502364687336,92.10666666666667,-0.3783569802066893,0.3783569802066893,-0.004680751501601886,0.004680751501601886,72.0,73.0,1.0,40.0,44.0,4.0,116.0,118.25,2.25
300,combined,event_duration_median_hours,1903,300,644.0667367314766,40.9,-603.1667367314766,603.1667367314766,-0.0584254929214072,0.0584254929214072,28.0,28.0,0.0,17.0,17.0,0.0,49.0,43.25,-5.75
300,combined,q99_event_frequency,1903,300,3.877464911278516,3.882146015028384,0.004681103749867965,0.004681103749867965,0.0013459702363316913,0.0013459702363316913,2.9285714285714284,2.975,0.04642857142857171,1.724747474747475,1.8641633064516128,0.13941583170413785,4.702941176470588,4.768548387096774,0.0656072106261858
300,combined,rbi,1903,300,0.056258792141003065,0.05560578219698957,-0.0006530099440134954,0.0006530099440134954,-0.005459238909760534,0.005459238909760534,0.02794917540921501,0.02830368763261265,0.00035451222339764193,0.015797739052687367,0.016086839549013833,0.0002891004963264665,0.05324388246307164,0.06007418502549626,0.006830302562424617
300,combined,rising_time_median_hours,1903,300,308.5160273252759,13.438333333333333,-295.07769399194257,295.07769399194257,-0.05607776840684678,0.05607776840684678,8.5,9.0,0.5,4.5,4.0,-0.5,16.0,15.0,-1.0
300,combined,unit_area_peak_median,1903,300,0.16932474450046786,0.1660998124946369,-0.0032249320058309605,0.0032249320058309605,-0.021442110172395508,0.021442110172395508,0.1412514995641448,0.12980067414545213,-0.011450825418692662,0.061192960515534495,0.05373226644615002,-0.007460694069384474,0.23108745510252462,0.21998092847549347,-0.011106526627031155
300,train,annual_peak_unit_area_median,1705,269,0.3265750146201816,0.30573023966058255,-0.020844774959599077,0.020844774959599077,-0.03840909977616588,0.03840909977616588,0.1596160127941199,0.14913714242675635,-0.010478870367363557,0.04824623438440273,0.04292996583790805,-0.005316268546494682,0.36817381015842887,0.36583652095850056,-0.0023372891999283163
300,train,annual_peak_years,1705,269,29.226979472140762,29.509293680297397,0.28231420815663455,0.28231420815663455,0.043670972748808434,0.043670972748808434,31.0,31.0,0.0,24.0,25.0,1.0,35.0,35.0,0.0
300,train,event_count,1705,269,93.34721407624633,92.98884758364312,-0.35836649260320996,0.35836649260320996,-0.0043786260427431814,0.0043786260427431814,73.0,73.0,0.0,40.0,41.0,1.0,117.0,119.0,2.0
300,train,event_duration_median_hours,1705,269,596.4900293255132,42.49814126394052,-553.9918880615727,553.9918880615727,-0.05671672149372236,0.05671672149372236,27.5,28.5,1.0,17.0,17.5,0.5,48.5,45.0,-3.5
300,train,q99_event_frequency,1705,269,3.9163797018707514,3.900874707525548,-0.015504994345203471,0.015504994345203471,-0.004378070342441834,0.004378070342441834,2.9285714285714284,2.9444444444444446,0.01587301587301626,1.7333333333333334,1.8,0.06666666666666665,4.705882352941177,4.758620689655173,0.05273833671399597
300,train,rbi,1705,269,0.055731089924312735,0.057194888110748014,0.0014637981864352792,0.0014637981864352792,0.014157938772237472,0.014157938772237472,0.028112332609912923,0.027423330151324265,-0.0006890024585886577,0.01588837463584928,0.015747712435776367,-0.00014066220007291283,0.054156856902423146,0.0597896090444568,0.0056327521420336535
300,train,rising_time_median_hours,1705,269,285.9859237536657,13.869888475836431,-272.11603527782927,272.11603527782927,-0.05396987604511067,0.05396987604511067,8.0,9.0,1.0,4.0,4.0,0.0,16.0,15.0,-1.0
300,train,unit_area_peak_median,1705,269,0.1696550247123887,0.16590620740693626,-0.0037488173054524287,0.0037488173054524287,-0.02471898601833482,0.02471898601833482,0.13885138717962522,0.12982181031668583,-0.009029576862939398,0.06155959912172004,0.05344451747347909,-0.00811508164824095,0.23029776636078542,0.2211606763488031,-0.009137090011982318
300,validation,annual_peak_unit_area_median,198,31,0.2983048379991328,0.2615089566868438,-0.036795881312289,0.036795881312289,-0.0686598206063483,0.0686598206063483,0.17131193259202532,0.14363086423571958,-0.027681068356305738,0.04645498111580042,0.06844092156297371,0.021985940447173294,0.33747156785232,0.30902118632443065,-0.028450381527889368
300,validation,annual_peak_years,198,31,29.207070707070706,29.129032258064516,-0.07803844900618984,0.07803844900618984,-0.011792853412044637,0.011792853412044637,31.0,34.0,3.0,24.0,22.0,-2.0,35.0,35.0,0.0
300,validation,event_count,198,31,85.06060606060606,84.45161290322581,-0.6089931573802545,0.6089931573802545,-0.008565682466866294,0.008565682466866294,71.0,77.0,6.0,41.0,59.0,18.0,112.0,116.5,4.5
300,validation,event_duration_median_hours,198,31,1053.7550505050506,27.032258064516128,-1026.7227924405345,1026.7227924405345,-0.07213595590319591,0.07213595590319591,28.0,22.0,-6.0,18.0,14.25,-3.75,50.75,38.5,-12.25
300,validation,q99_event_frequency,198,31,3.5423653256231575,3.7196292962626667,0.17726397063950916,0.17726397063950916,0.06219573169352419,0.06219573169352419,2.9077380952380953,3.870967741935484,0.9632296466973886,1.6724137931034484,2.005072463768116,0.3326586706646677,4.693614130434783,4.91795665634675,0.22434252591196646
300,validation,rbi,198,31,0.060802894562503144,0.04181644378405336,-0.018986450778449786,0.018986450778449786,-0.08906655572558118,0.08906655572558118,0.027088657850145234,0.03362340263624889,0.0065347447861036564,0.015564571737185744,0.022575549900695213,0.007010978163509469,0.04507687247800766,0.05632179516577324,0.011244922687765585
300,validation,rising_time_median_hours,198,31,502.52525252525254,9.693548387096774,-492.83170413815577,492.83170413815577,-0.07176426328236946,0.07176426328236946,10.0,8.0,-2.0,5.0,4.5,-0.5,18.0,14.0,-4.0
300,validation,unit_area_peak_median,198,31,0.16648066489781607,0.16777980502984607,0.0012991401320300022,0.0012991401320300022,0.009340347809652502,0.009340347809652502,0.1582860224827184,0.12531618716061743,-0.03296983532210096,0.045833208704795084,0.06117205744733864,0.015338848742543557,0.234163027231926,0.20928088968329064,-0.024882137548635358
