gauge_id,gauge_name,state,drain_sqkm_attr,original_split,pilot_split,obs_years_usable,processing_status,selected_threshold_quantile,selected_threshold_value,q99_event_count,event_count,annual_peak_years,unit_area_peak_median,unit_area_peak_p90,q99_event_frequency,rbi,rising_time_median_hours,event_duration_median_hours,annual_peak_unit_area_median,annual_peak_unit_area_p90,error_detail
03051000,"TYGART VALLEY RIVER AT BELINGTON, WV",WV,1076.024,validation,,28,ok,Q99,192.837408,87,87,29,0.22164770302521133,0.33158338475721744,3.107142857142857,0.023655522528066474,14.0,32.0,0.2592139952268723,0.3863209593838056,
03052000,"MIDDLE FORK RIVER AT AUDRA, WV",WV,386.9613,train,,28,ok,Q99,72.5618,131,131,29,0.2899652239125721,0.48223869415365306,4.678571428571429,0.02649395856965396,5.0,19.0,0.46101726451714936,0.6218610656931326,
03052500,"SAND RUN NEAR BUCKHANNON, WV",WV,37.323,train,,25,ok,Q99,6.445965559999918,139,139,28,0.31941089408675616,0.7399559263724781,5.56,0.04441373016943944,5.0,17.0,0.5743326527878252,1.0552825087285032,
03053500,"BUCKHANNON RIVER AT HALL, WV",WV,697.7826,validation,,26,ok,Q99,120.09579631999942,89,89,28,0.22481940936904987,0.3174255270911026,3.423076923076923,0.019979819194104097,12.0,28.0,0.2966479932288366,0.3668228964150152,
03054500,"TYGART VALLEY RIVER AT PHILIPPI, WV",WV,2360.572,train,,27,ok,Q99,416.25696,86,86,29,0.22012176709712733,0.3253843559950723,3.185185185185185,0.020774544379995947,8.0,30.5,0.29149640002507865,0.37954510686392956,
03056000,"TYGART VALLEY R AT TYGART DAM NR GRAFTON, WV",WV,3053.8,train,,15,ok,Q99,364.5788,28,28,16,0.13317834828737965,0.16558623878446527,1.8666666666666667,0.015472842704728052,7.0,49.5,0.12970110681773528,0.16574851005304866,
03056250,"THREE FORK CREEK NR GRAFTON, WV",WV,250.515,train,,28,ok,Q99,44.528168,171,171,29,0.27071726643115185,0.5403041893698981,6.107142857142857,0.038852547001202185,4.0,15.0,0.5176973195217851,0.8488879627966389,
03057000,"TYGART VALLEY RIVER AT COLFAX, WV",WV,3514.229,train,,14,ok,Q99,379.44512,23,23,15,0.12932698466719159,0.16486168886546668,1.6428571428571428,0.010605076081845483,9.0,67.0,0.11522591157263799,0.16131627620169317,
03058000,WEST FORK R BL STONEWALL JACKSON DAM NR WESTON,WV,261.5526,train,,17,ok,Q99,27.6371968,20,20,18,0.1223386194593363,0.13630470964540214,1.1764705882352942,0.011520454074183712,3.0,71.0,0.10988822898338614,0.13825346641555086,
03058500,"W.F. RIVER AT BUTCHERVILLE, WV",WV,489.7152,train,,11,ok,Q99,42.758368,69,69,14,0.12489767113620324,0.23291102747066056,6.2727272727272725,0.022772295038816837,4.0,12.0,0.1854672593376722,0.34001367161974966,
03061000,"WEST FORK RIVER AT ENTERPRISE, WV",WV,1985.226,train,,28,ok,Q99,242.10864,108,108,29,0.17401795060109027,0.29996700829024,3.857142857142857,0.025441429548339046,8.0,23.0,0.22786366892232923,0.3779898107318763,
03061500,"BUFFALO CREEK AT BARRACKVILLE, WV",WV,300.1365,train,,27,ok,Q99,45.05627631999943,156,156,28,0.250017975154638,0.47798247797252247,5.777777777777778,0.042426532625789146,6.0,16.0,0.44920682422830943,0.7659984680303795,
03062500,"DECKERS CREEK AT MORGANTOWN, WV",WV,163.7982,train,,22,ok,Q99,22.582648,96,96,23,0.19491784403003207,0.36736179030050387,4.363636363636363,0.026149332293657943,4.0,18.5,0.2532635401365827,0.46088778020759696,
03065000,"DRY FORK AT HENDRICKS, WV",WV,897.9021,train,,27,ok,Q99,170.537928,126,126,29,0.27164858618773696,0.46004048771018574,4.666666666666667,0.028362526641168312,5.0,19.5,0.4194370856243682,0.7221886662254157,
03066000,"BLACKWATER R AT DAVIS, WV",WV,222.7851,validation,,27,ok,Q99,37.91194768000058,80,80,29,0.22878657504474043,0.3325031557316896,2.962962962962963,0.02266827787178618,14.0,32.0,0.27962803616579385,0.5040930870152447,
03067510,"SHAVERS FORK NR CHEAT BRIDGE, WV",WV,154.6461,train,,21,ok,Q99,39.64352,188,188,28,0.3968846547051623,0.8070903514540622,8.952380952380953,0.05128159243808737,4.0,11.0,0.7965159160172808,1.453138002186929,
03068800,"SHAVERS FORK BELOW BOWDEN, WV",WV,388.3293,validation,,27,ok,Q99,87.13150151999984,174,174,28,0.3449094982016552,0.8197434146740933,6.444444444444445,0.0383811600371048,4.0,13.0,0.9005565122178523,1.669857824274398,
03069500,"CHEAT RIVER NEAR PARSONS, WV",WV,1856.853,train,,28,ok,Q99,356.79168,126,126,29,0.29222597588500543,0.5089650069230036,4.5,0.027314433605282264,6.0,21.0,0.474271512069076,0.6430115211058711,
03069870,"CHEAT RIVER AT HWY 50 NEAR ROWLESBURG, WV",WV,2350.885,train,,12,ok,Q99,458.73216,56,56,14,0.249937193865289,0.39207015230434494,4.666666666666667,0.02442660229335891,5.5,20.0,0.37340014505175706,0.4836134136718725,
03070500,"BIG SANDY CREEK AT ROCKVILLE, WV",WV,517.3794,train,,24,ok,Q99,88.914752,139,139,29,0.24328022337186211,0.3660423248393732,5.791666666666667,0.02920334847236938,5.0,16.0,0.3387861828283074,0.47838725287306605,
03072000,"Dunkard Creek at Shannopin, PA",PA,588.3783,train,,31,ok,Q99,83.08786248000017,157,157,34,0.21897721244988133,0.4173753796154618,5.064516129032258,0.037014752395490375,7.0,18.0,0.37147919969176296,0.5924416451116569,
03075905,"CHERRY CREEK AT STATE PARK ROAD NEAR MCHENRY, MD",MD,31.7025,train,,17,ok,Q99,5.1111824,60,60,18,0.23029776636078542,0.4565537840585292,3.5294117647058822,0.02551186075884786,7.0,26.0,0.32084632246834793,0.5619146400810131,
03076600,"BEAR CREEK AT FRIENDSVILLE, MD",MD,127.3991,validation,,30,ok,Q99,19.4536416,130,130,32,0.2367158951672343,0.410752088515539,4.333333333333333,0.029077061824714295,4.0,17.5,0.38896978079123007,0.43409027536301276,
03078000,"CASSELMAN RIVER AT GRANTSVILLE, MD",MD,161.4825,train,,29,ok,Q99,28.599968,138,138,34,0.24133262737448333,0.4916960487978574,4.758620689655173,0.03292118213544212,6.0,17.0,0.3607933738950041,0.6492965565928197,
03085500,"Chartiers Creek at Carnegie, PA",PA,666.8838,train,,34,ok,Q99,68.809824,158,158,35,0.1628924319349188,0.32250472301171523,4.647058823529412,0.035139316359177414,6.0,18.0,0.256891290506682,0.4949297325860968,
03090500,Mahoning River bl Berlin Dam nr Berlin Center OH,OH,645.7941,train,,17,ok,Q99,50.403904,16,16,18,0.08068037784798593,0.10156300282086814,0.9411764705882353,0.01354893739221141,11.0,97.0,0.07196558159946026,0.09183970184924267,
03091500,Mahoning River at Pricetown OH,OH,708.7518,train,,34,ok,Q99,52.669248,28,28,35,0.08030564155180982,0.09716583097214004,0.8235294117647058,0.0075305804998130835,11.5,101.5,0.06831972490228597,0.0942093048652575,
03092460,West Branch Mahoning River at Wayland OH,OH,209.0214,train,,15,ok,Q99,13.6486976,18,18,16,0.0801154695165184,0.11910804616178058,1.2,0.007907782794757226,9.0,85.5,0.07484894848087326,0.10895432907826663,
03093000,Eagle Creek at Phalanx Station OH,OH,251.7975,train,,33,ok,Q99,37.590552,152,152,36,0.21901316732691944,0.3417617537902482,4.606060606060606,0.03414343327098588,7.0,20.0,0.2984370694705071,0.4931310596808943,
03094000,Mahoning River at Leavittsburg OH,OH,1487.505,train,,34,ok,Q99,104.913744,93,93,35,0.08985199780841072,0.13968939828773683,2.735294117647059,0.012240647976440904,15.0,31.0,0.1086980736199206,0.15316719795899844,
03095500,Mosquito Creek bl Mosquito Ck Dam nr Cortland OH,OH,245.4543,train,,17,ok,Q99,19.8500768,19,19,18,0.08704278393167282,0.10143454973084604,1.1176470588235294,0.012409312897836361,13.0,74.0,0.08133222355444578,0.10061834337389892,
03097550,Mahoning River at Ohio Edison P Plt at Niles OH,OH,2201.038,train,,14,ok,Q99,151.778048,41,41,20,0.08529629383954299,0.119517732996886,2.9285714285714284,0.012359328284362389,16.0,40.0,0.09018507086202057,0.12824034042120128,
03098600,Mahoning River below West Ave at Youngstown OH,OH,2525.609,train,,29,ok,Q99,213.08392,73,73,36,0.10662488453279982,0.1430634623174054,2.5172413793103448,0.015530277837334258,13.0,42.0,0.11323988788446668,0.15752677473037197,
03099500,Mahoning River at Lowellville OH,OH,2746.113,train,,12,ok,Q99,211.597288,32,32,17,0.10270346777426859,0.14260933326487293,2.6666666666666665,0.015071611402500282,9.5,42.0,0.1167787924240554,0.14456853596337807,
03101500,"Shenango River at Pymatuning Dam, PA",PA,420.1992,train,,33,ok,Q99,24.4727944,49,49,34,0.06361520726360259,0.07540828064403743,1.4848484848484849,0.009301138907969894,3.0,26.0,0.06155984304586967,0.08546608751277965,
03102850,"Shenango River near Transfer, PA",PA,870.5376,train,,34,ok,Q99,80.065752,131,131,35,0.11913360204085384,0.16231445028910874,3.8529411764705883,0.018069425839284427,6.0,18.0,0.1567846994776561,0.18993067640042202,
03103500,"Shenango River at Sharpsville, PA",PA,1523.407,validation,,15,ok,Q99,101.374144,18,18,18,0.07072661737802177,0.07502504846045738,1.2,0.005544253869493995,5.5,61.5,0.06661406439644822,0.07502504846045738,
03105500,"Beaver River at Wampum, PA",PA,5752.941,train,,33,ok,Q99,450.709066676106,93,93,35,0.09795065167537786,0.14057641265571816,2.8181818181818183,0.01231195810233892,12.0,34.0,0.1048416522957562,0.1585717685615062,
03106000,"Connoquenessing Creek near Zelienople, PA",PA,921.4443,train,,33,ok,Q99,116.98307207999935,129,129,35,0.1800061664063688,0.3252864313122345,3.909090909090909,0.027858449017173655,8.0,21.0,0.2378570598353042,0.42715931934247137,
03106300,"Muddy Creek near Portersville, PA",PA,132.7041,train,,27,ok,Q99,9.5286032,22,22,35,0.09228815085592683,0.12654145817649945,0.8148148148148148,0.007595148969960247,27.5,110.5,0.060920848715299666,0.10719295394791871,
03106500,"Slippery Rock Creek at Wurtemburg, PA",PA,1043.36,train,,32,ok,Q99,115.185663201417,88,88,35,0.1460471745131115,0.20800781551909217,2.75,0.0191017210133055,9.5,34.5,0.15524085262996473,0.2242850360374176,
03107500,"Beaver River at Beaver Falls, PA",PA,8034.329,train,,29,ok,Q99,693.05368,92,92,35,0.10784896660318492,0.15978212094625452,3.1724137931034484,0.013947743776460625,11.0,29.0,0.11877484230481476,0.17874380200263149,
03108000,"Raccoon Creek at Moffatts Mill, PA",PA,463.4865,train,,33,ok,Q99,45.731632,141,141,35,0.1502941897984084,0.32013884331043085,4.2727272727272725,0.028279014186780475,9.0,20.0,0.21627700483185597,0.41789116187850134,
03109500,Little Beaver Creek near East Liverpool OH,OH,1304.177,train,,33,ok,Q99,120.771152,95,95,36,0.13743943038406597,0.2228993984712199,2.878787878787879,0.02147647933399288,9.0,32.0,0.15692630064784152,0.2692336392989602,
03110000,Yellow Creek near Hammondsville OH,OH,381.4083,train,,31,ok,Q99,41.200944,141,141,36,0.15813705155341404,0.29919827124894766,4.548387096774194,0.02972828062475004,8.0,19.0,0.21632480467782167,0.4517671167617485,
03110830,"KINGS CREEK AT WEIRTON, WV",WV,126.7794,train,,22,ok,Q99,15.531623216000074,121,121,23,0.19309030962443427,0.5003149723062265,5.5,0.04618493568405667,4.0,14.0,0.42884140483390837,0.5762556377455643,
03111500,Short Creek near Dillonvale OH,OH,318.8142,train,,33,ok,Q99,24.6214576,176,176,36,0.130786169499351,0.2957677041988719,5.333333333333333,0.03133878581864931,5.0,14.0,0.24625103900641815,0.5651117171067035,
03114500,"MIDDLE ISLAND CREEK AT LITTLE, WV",WV,1187.292,validation,,15,ok,Q99,214.641344,71,71,17,0.25400147562688874,0.3833872038218063,4.733333333333333,0.041978060878815025,9.0,20.0,0.347016100504341,0.42989451626053243,
03115400,Little Muskingum River at Bloomfield OH,OH,544.2678,train,,28,ok,Q99,108.170176,149,149,30,0.2775658012471067,0.49673092547455505,5.321428571428571,0.04648733278846669,9.0,17.0,0.392286062118685,0.7212288509443331,
03115973,Schocalog Run at Copley Junction OH,OH,9.0279,train,,17,ok,Q99,1.5503448,108,108,21,0.23618505300235937,0.4132454280618968,6.352941176470588,0.05388624153045796,5.0,15.0,0.3701173473343745,0.8343323253469799,
03116077,Chippewa Creek at Miller Rd at Sterling OH,OH,128.9772,validation,,23,ok,Q99,18.0944352,108,108,24,0.20467444478559,0.28338271880611454,4.695652173913044,0.038712153684117,4.0,15.5,0.2555000108546317,0.30956392292591245,
03117000,Tuscarawas River at Massillon OH,OH,1336.8,train,,34,ok,Q99,112.417696,54,54,35,0.1089840933572711,0.13509155595451824,1.588235294117647,0.017003836606194297,21.0,54.0,0.10866635547576302,0.13760168521843208,
03118000,Middle Branch Nimishillen Creek at Canton OH,OH,116.2062,train,,31,ok,Q99,10.9444432,100,100,35,0.12884431295404203,0.1991817331605371,3.225806451612903,0.023156654907262313,13.0,31.0,0.14644998975958257,0.34382851173173223,
03118500,Nimishillen Creek at North Industry OH,OH,453.5037,train,,34,ok,Q99,55.005384,190,190,35,0.16335881713864736,0.2648426529706373,5.588235294117647,0.05325906331428159,7.0,16.0,0.22291102806878973,0.41959722930595716,
03124500,Sugar Creek at Strasburg OH,OH,803.0898,train,,30,ok,Q99,65.12864,62,62,35,0.09440816207602189,0.11560812750952634,2.066666666666667,0.01928863646448478,13.0,49.0,0.08568135717823835,0.117609122167907,
03129000,Tuscarawas River at Newcomerstown OH,OH,6319.039,train,,34,ok,Q99,336.96992,50,50,35,0.058031381037528015,0.06681450897834307,1.4705882352941178,0.007742383970357732,13.5,43.5,0.05780732165128274,0.06775555840057325,
03139000,Killbuck Creek at Killbuck OH,OH,1202.849,train,,34,ok,Q99,82.968224,36,36,36,0.08392524082407685,0.15872817286292795,1.0588235294117647,0.010490450801796313,15.0,64.5,0.07080088689436496,0.14157234698619692,
03140000,Mill Creek near Coshocton OH,OH,70.3458,train,,31,ok,Q99,9.8471672,235,235,35,0.2719138655044082,0.8809526197726091,7.580645161290323,0.08106380123659794,4.0,11.0,0.6511038896423099,1.202982364263396,
03140500,Muskingum River near Coshocton OH,OH,12559.69,train,,34,ok,Q99,676.77152,40,40,35,0.06025359543109742,0.06973409566637392,1.1764705882352942,0.007500146870088475,7.0,47.5,0.0550117017219374,0.0693508174166719,
03141870,Leatherwood Creek near Kipling OH,OH,177.5142,validation,,22,ok,Q99,28.883136,91,91,26,0.2093680392892512,0.3238225674340419,4.136363636363637,0.04423450041526661,10.0,20.0,0.2560272023308558,0.41355172712943533,
