gauge_id,pilot_split,gauge_name,state,drain_sqkm_attr,original_split,obs_years_usable,processing_status,selected_threshold_quantile,selected_threshold_value,q99_event_count,event_count,annual_peak_years,unit_area_peak_median,unit_area_peak_p90,q99_event_frequency,rbi,rising_time_median_hours,event_duration_median_hours,annual_peak_unit_area_median,annual_peak_unit_area_p90,error_detail
07065495,train,"Jacks Fork at Alley Spring, MO",MO,789.1665,train,30,ok,Q99,82.755848,140,140,33,0.22296120780595727,0.7106411942220054,4.666666666666667,0.043116225776363454,5.0,19.0,0.6333156817984544,1.3453921523531474,
07068000,train,"Current River at Doniphan, MO",MO,5318.585,train,29,ok,Q99,467.2272,65,65,31,0.1362975453057533,0.32357356702957646,2.2413793103448274,0.00916282967408626,22.0,36.0,0.15706162447342667,0.4333836010893875,
07145500,train,"NINNESCAH R NR PECK, KS",KS,5527.576,train,32,ok,Q99,144.41568,97,97,35,0.03980434389323639,0.08964942318296487,3.03125,0.02463101150721005,14.0,26.0,0.04794963434243148,0.1175175867324122,
07170500,train,"VERDIGRIS R AT INDEPENDENCE, KS",KS,7358.361,train,32,ok,Q99,545.0984,57,57,35,0.09043383438241206,0.11767943214528344,1.78125,0.015747712435776367,15.0,51.0,0.09043383438241206,0.15323724617479356,
07170990,train,"VERDIGRIS R AT COFFEYVILLE, KS",KS,8548.381,train,22,ok,Q99,724.91008,43,43,24,0.10384793097078851,0.12769817349039544,1.9545454545454546,0.01797711274700769,14.0,42.0,0.10475887773369016,0.13371870345975453,
07185090,train,"Tar Creek near Commerce, OK",OK,89.97778,train,12,ok,Q99,22.45224913599991,71,71,18,0.4366584727918382,1.3563949677353675,5.916666666666667,0.07465312975252247,9.0,20.0,0.8473534688230807,1.6132760332606562,
07187000,train,"Shoal Creek above Joplin, MO",MO,1110.443,train,28,ok,Q99,92.87202480000164,82,82,31,0.14573509131040496,0.4810660538181609,2.9285714285714284,0.021654935397193653,10.0,29.0,0.23638920322790094,0.6145609274856971,
07230000,train,"Little River blw Lk Thunderbird nr Norman, OK",OK,666.9027,train,32,ok,Q99,21.4924512,30,30,35,0.0386918271585945,0.053053978638862916,0.9375,0.013074199938778615,5.0,113.0,0.029000294045893056,0.050400218202745324,
07230500,train,"Little River near Tecumseh, OK",OK,1197.938,train,18,ok,Q99,51.536576,135,135,35,0.08994240436483357,0.1258011763547028,7.5,0.05023692407245914,4.0,14.0,0.10991647313967835,0.15017190405513473,
07233500,train,"Palo Duro Ck nr Spearman, TX",TX,2909.151,train,25,ok,Q99,0.6065246183999926,55,55,27,0.0018056011530511822,0.010545489429733969,2.2,0.14241108886895645,4.0,30.0,0.0031561518807377135,0.018167949068302068,
07239700,train,"North Canadian River near Yukon, OK",OK,34845.51,train,21,ok,Q99,86.790992,50,50,26,0.003551229871509988,0.0056848120288668464,2.380952380952381,0.02356799252059632,11.0,27.0,0.003502471566637997,0.006371085169940115,
07241800,train,"North Canadian River at Shawnee, OK",OK,36250.9,train,16,ok,Q99,155.03448,44,44,25,0.005536285168092379,0.008973273491140915,2.75,0.026317249707999344,13.0,35.5,0.005155482484572797,0.009857907417471015,
07242380,train,"Deep Fork at Warwick, OK",OK,1365.881,train,19,ok,Q99,61.872208,129,129,36,0.10469421567471837,0.24214424536251694,6.7894736842105265,0.0597896090444568,5.0,16.0,0.15134015335157308,0.2824670670431758,
07258500,train,"PETIT JEAN RIVER NEAR BOONEVILLE, ARK.",AR,623.9718,train,25,ok,Q99,134.646384,97,97,26,0.3655482892015312,0.7428957783028015,3.88,0.05193510983965383,10.0,22.0,0.584854571953412,1.0267572989676776,
07263012,train,"Fourche LaFave River near Aplin, AR",AR,2475.1,train,22,ok,Q99,222.75481511999902,67,67,23,0.12470329279625066,0.17893206415902388,3.0454545454545454,0.016097956325160305,9.0,27.0,0.16474563451981739,0.1999828952365561,
07281960,train,"YALOBUSHA RIVER AT VARDAMAN, MS",MS,221.9454,train,10,ok,Q99,68.07783472000025,68,68,14,0.42421856907149236,0.8611317990821166,6.8,0.07761599581559761,4.0,14.0,0.7203741640962147,0.881800493274472,
07297910,train,"Pr Dog Twn Fk Red Rv nr Wayside, TX",TX,9722.816,train,14,ok,Q99,10.028182344000049,119,119,18,0.002611701219070689,0.011892815085670656,8.5,0.2235471506308992,2.0,9.0,0.010218909007431592,0.024282923712636344,
07299540,train,"Pr Dog Twn Fk Red Rv nr Childress, TX",TX,18864.19,train,29,ok,Q99,36.10392,147,147,31,0.004548295156060239,0.01897374612957143,5.068965517241379,0.137372582918795,3.0,15.0,0.0066648285455140135,0.047997273140272655,
