subset_size,scope,attribute,reference_count,subset_count,reference_mean,subset_mean,mean_diff,abs_mean_diff,standardized_mean_diff,abs_standardized_mean_diff,reference_median,subset_median,median_diff,reference_p25,subset_p25,p25_diff,reference_p75,subset_p75,p75_diff
100,combined,area,1903,100,3181.958616111403,2268.1457975000003,-913.8128186114027,913.8128186114027,-0.13024218960696593,0.13024218960696593,690.6969,514.99215,-175.70475,188.93745,173.22412500000002,-15.713324999999998,2402.518,2340.35725,-62.16075000000001
100,combined,aridity,1903,100,2.0721707446552866,2.0978768127592757,0.02570606810398912,0.02570606810398912,0.020602738034686464,0.020602738034686464,1.55864143944599,1.6390811241833099,0.08043968473731988,1.35021927161461,1.3359251576661424,-0.01429411394846758,2.42502790964525,2.1569200450165273,-0.2681078646287225
100,combined,baseflow_index,1903,100,40.15252891224383,40.64648525,0.4939563377561669,0.4939563377561669,0.0296569051178383,0.0296569051178383,39.50448,39.384204999999994,-0.12027500000000657,26.915115,23.5872025,-3.3279125,51.37561,52.923472499999995,1.5478624999999937
100,combined,forest_fraction,1903,100,0.3921999324790478,0.37783783294578,-0.01436209953326778,0.01436209953326778,-0.0488272898590507,0.0488272898590507,0.3711704449999999,0.31768503335,-0.053485411649999925,0.1065551424,0.07901042421749993,-0.027544718182500066,0.65454268,0.6718800425000001,0.017337362500000064
100,combined,permeability,1903,100,2.5582599194429845,2.7003251229999994,0.1420652035570149,0.1420652035570149,0.06751055540140477,0.06751055540140477,1.881851,1.8747185000000002,-0.007132499999999764,1.233558,1.1551025,-0.07845550000000001,3.1654315,3.3442335,0.17880200000000013
100,combined,slope,1903,100,8.498735441445087,9.046079331000001,0.5473438895549148,0.5473438895549148,0.059096823447347874,0.059096823447347874,4.416349,4.3596445,-0.05670450000000038,2.153753,2.18897375,0.035220750000000134,12.09258,11.9932125,-0.09936749999999961
100,combined,snow_fraction,1903,100,0.08414089176118655,0.09469983444332324,0.010558942682136682,0.010558942682136682,0.08727126334913907,0.08727126334913907,0.0467788538903625,0.05143013491843165,0.004651281028069151,0.0119624908096928,0.020502193050249026,0.008539702240556226,0.08928489930891866,0.10032026542052674,0.011035366111608089
100,combined,soil_depth,1903,100,50.42046878087232,50.654115300000015,0.23364651912769574,0.23364651912769574,0.025180941935770373,0.025180941935770373,52.87412,54.749325,1.8752050000000011,44.039275,42.627875,-1.4114000000000004,58.630539999999996,59.3758375,0.7452975000000066
100,train,area,1705,90,3097.3046590674485,2401.6018005555557,-695.7028585118928,695.7028585118928,-0.10086217122396977,0.10086217122396977,686.4678,514.99215,-171.47564999999997,185.517,173.165175,-12.351824999999991,2348.75,2512.1335,163.3834999999999
100,train,aridity,1705,90,2.0693973296202475,2.1324997132273076,0.06310238360706011,0.06310238360706011,0.05040621595219548,0.05040621595219548,1.55561322697831,1.6390811241833099,0.08346789720499981,1.35488760540456,1.34526651061483,-0.009621094789729945,2.42083646342233,2.143921526435455,-0.27691493698687486
100,train,baseflow_index,1705,90,40.25136946686217,40.273270277777776,0.021900810915603586,0.021900810915603586,0.0013192250635170324,0.0013192250635170324,39.53799,38.891149999999996,-0.6468400000000045,27.00372,23.5450275,-3.4586925000000015,51.43165,51.837225,0.4055749999999989
100,train,forest_fraction,1705,90,0.39251473919712404,0.3823210450381111,-0.010193694159012945,0.010193694159012945,-0.034696419579128134,0.034696419579128134,0.372357488,0.356271715,-0.016085773000000025,0.107856593,0.08426277427999992,-0.023593818720000076,0.6549726300000001,0.6707274900000001,0.015754860000000037
100,train,permeability,1705,90,2.552889717302053,2.542088583333333,-0.010801133968719956,0.010801133968719956,-0.005126708333150001,0.005126708333150001,1.8728,1.798498,-0.07430200000000009,1.234745,1.14291875,-0.09182625,3.145341,2.95769575,-0.1876452500000001
100,train,slope,1705,90,8.491754027583577,8.843977722222222,0.35222369463864567,0.35222369463864567,0.03811746467143915,0.03811746467143915,4.489267,4.3596445,-0.12962249999999997,2.153866,2.25050075,0.09663475000000021,12.07247,11.752465,-0.3200049999999983
100,train,snow_fraction,1705,90,0.08427322151887014,0.09158617246176097,0.0073129509428908335,0.0073129509428908335,0.05995894298158007,0.05995894298158007,0.0468757177742748,0.050980071969829996,0.004104354195555195,0.0121118080284036,0.018167486977326276,0.006055678948922675,0.0889413517604811,0.09667884434764923,0.007737492587168132
100,train,soil_depth,1705,90,50.37886045161291,50.407093666666675,0.02823321505376697,0.02823321505376697,0.0030279926888446395,0.0030279926888446395,52.82763,54.525275,1.6976450000000014,43.9527,42.569145,-1.3835550000000012,58.6319,59.5619825,0.9300824999999975
100,validation,area,198,10,3910.9232462121217,1067.0417699999998,-2843.881476212122,2843.881476212122,-0.35870434751330166,0.35870434751330166,829.25325,618.7158,-210.53745000000004,231.377175,225.30262499999998,-6.074550000000016,2670.2419999999997,1272.3894,-1397.8525999999997
100,validation,aridity,198,10,2.096052929679235,1.78627070854699,-0.3097822211322452,0.3097822211322452,-0.2558306836557827,0.2558306836557827,1.571765865716445,1.649127950413575,0.07736208469712991,1.322047392960005,1.141957905659515,-0.1800894873004899,2.4533870900975825,2.2060500646571524,-0.24733702544043012
100,validation,baseflow_index,198,10,39.30140191414141,44.00542,4.704018085858593,4.704018085858593,0.2751924865487171,0.2751924865487171,38.928844999999995,48.62094,9.692095000000002,26.32741,35.100207499999996,8.772797499999996,50.9260375,56.323080000000004,5.397042500000005
